V1	V12	2.81E-05
V1	V14	1.71E-05
V1	V15	8.95E-06
V1	V20	1.69E-05
V1	V21	3.07E-06
V1	V22	2.29E-05
V1	V25	0.00011461
V1	V26	0.00018338
V1	V28	4.90E-07
V1	V29	4.05E-06
V1	V32	1.12E-05
V1	V34	3.00E-07
V1	V36	3.59E-06
V1	V37	6.10E-07
V1	V39	2.49E-06
V1	V41	3.40E-05
V1	V42	2.30E-05
V1	V43	2.37E-05
V1	V51	1.70E-07
V1	V52	3.50E-07
V1	V53	3.19E-05
V1	V58	3.59E-05
V1	V59	2.99E-05
V1	V60	2.87E-05
V1	V61	3.56E-05
V1	V90	5.60E-07
V1	V102	9.80E-07
V1	V107	1.23E-05
V1	V108	2.64E-05
V1	V125	5.59E-05
V1	V132	4.45E-05
V1	V133	4.16E-05
V1	V151	3.90E-07
V1	V155	2.72E-05
V1	V156	5.36E-06
V1	V157	4.40E-07
V1	V158	7.77E-06
V1	V159	5.57E-06
V1	V160	3.32E-05
V1	V167	1.66E-06
V1	V175	1.05E-06
V1	V176	1.03E-06
V1	V177	1.04E-06
V1	V178	1.70E-07
V1	V180	4.19E-05
V1	V181	1.50E-07
V1	V182	1.10E-07
V1	V183	1.03E-06
V1	V184	1.87E-06
V1	V185	2.13E-06
V1	V186	4.79E-05
V1	V189	2.10E-05
V1	V190	1.19E-05
V1	V191	3.25E-06
V1	V192	4.75E-06
V1	V193	1.09E-05
V1	V196	2.44E-05
V1	V197	6.73E-05
V1	V198	2.18E-05
V1	V199	3.75E-05
V1	V200	2.55E-05
V1	V201	5.33E-05
V1	V202	4.17E-05
V1	V203	6.19E-05
V1	V204	3.78E-05
V1	V205	3.77E-05
V1	V234	3.88E-05
V1	V238	4.50E-05
V1	V246	4.72E-06
V1	V247	1.68E-06
V1	V249	0.00157365
V2	V7	2.20E-05
V2	V8	2.20E-05
V2	V10	2.20E-05
V2	V43	9.00E-08
V2	V51	3.00E-08
V2	V53	3.50E-07
V2	V60	2.08E-06
V2	V83	2.11E-06
V2	V84	6.29E-06
V2	V102	1.43E-06
V2	V156	7.95E-06
V2	V157	1.85E-06
V2	V158	2.15E-06
V2	V159	9.00E-08
V2	V174	3.78E-06
V2	V175	6.10E-07
V2	V181	7.00E-08
V2	V183	3.00E-07
V2	V184	2.80E-07
V2	V186	1.00E-07
V2	V189	2.03E-06
V2	V190	8.00E-08
V2	V191	3.08E-06
V2	V192	3.00E-07
V2	V193	2.95E-06
V2	V196	5.00E-08
V2	V200	5.90E-07
V2	V201	5.50E-07
V2	V205	8.00E-08
V2	V246	1.02E-06
V2	V249	0.00010617
V3	V4	0.02674494
V3	V11	0.00091324
V3	V16	9.92E-05
V3	V20	0.00056256
V3	V23	0.00052185
V3	V31	4.57E-05
V3	V32	2.17E-05
V3	V33	0.00017534
V3	V35	6.34E-05
V3	V38	0.00031311
V3	V100	0.00036073
V3	V101	0.00333151
V3	V249	0.03315323
V4	V5	0.25675147
V4	V7	0.00068493
V4	V8	0.00068493
V4	V9	0.00319635
V4	V10	0.00068493
V4	V11	0.00091324
V4	V18	0.00284627
V4	V20	0.00312532
V4	V22	0.00636733
V4	V23	0.00405885
V4	V24	0.00318366
V4	V25	0.01273465
V4	V28	0.00272958
V4	V31	0.00035515
V4	V32	0.00022527
V4	V35	0.00049315
V4	V38	0.00243531
V4	V40	0.00202943
V4	V49	0.00026423
V4	V53	1.18E-05
V4	V114	2.62E-05
V4	V136	4.51E-06
V4	V191	0.00016002
V4	V196	1.37E-05
